stop_id,name,lat,lng
1,Kalanki,27.6932,85.2818
2,Swayambhu,27.7142,85.2891
3,Gongabu,27.7371,85.3150
4,Maharajgunj,27.7345,85.3414
5,Chabahil,27.7176,85.3468
6,Gaushala,27.7076,85.3477
7,Koteshwor,27.6775,85.3444
8,Satdobato,27.6548,85.3217
9,Ekantakuna,27.6687,85.3056
10,Balkhu,27.6823,85.2922
11,Ratnapark,27.7061,85.3149
12,Baneshwor,27.6922,85.3338
13,Tripureshwor,27.6946,85.3117
14,Lagankhel,27.6666,85.3235
